book_id,Book_Name,guten_genre,Author_Name
pg10067,The Mystery of the Boule Cabinet: A Detective Story,Detective and Mystery,Stevenson| Burton Egbert
pg1032,The Pupil,Literary,James| Henry
pg10379,At Love's Cost,Literary,Garvice| Charles
pg10473,The Heart of the Range,Western Stories,White| William Patterson
pg10812,The Worshipper of the Image,Literary,Gallienne| Richard Le
pg10826,The Book-Bills of Narcissus - An Account Rendered by Richard Le Gallienne,Literary,Gallienne| Richard Le
pg10943,Elusive Isabel,Detective and Mystery,Futrelle| Jacques
pg11004,Joe Burke's Last Stand,Literary,Wetterau| John Moncure
pg11005,O+F,Literary,Wetterau| John Moncure
pg11259,Polly and the Princess,Literary,Dowd| Emma C.
pg11280,Maggie Miller: The Story of Old Hagar's Secret,Literary,Holmes| Mary Jane
pg11520,The Obstacle Race,Literary,Dell| Ethel M.
pg11581,From out the Vasty Deep,Literary,Lowndes| Marie Belloc
pg11655,Fate Knocks at the Door: A Novel,Literary,Comfort| Will Levington
pg11674,The Torrent (Entre Naranjos),Literary,Ibez| Vicente Blasco
pg1190,The Jolly Corner,Ghost and Horror,James| Henry
pg1193,The Coxon Fund,Literary,James| Henry
pg11931,The Mystery of Monastery Farm,Literary,Naylor| H. R.
pg11970,Wife in Name Only,Literary,Brame| Charlotte M.
pg12102,Darrel of the Blessed Isles,Literary,Bacheller| Irving
pg1218,The Adventures of Jimmie Dale,Detective and Mystery,Packard| Frank L.
pg12181,The Story of Bessie Costrell,Literary,Ward| Mrs. Humphry
pg12303,Fated to Be Free: A Novel,Literary,Ingelow| Jean
pg12304,Nancy: A Novel,Literary,Broughton| Rhoda
pg12360,The Top of the World,Literary,Dell| Ethel M.
pg12450,The Reason Why,Literary,Glyn| Elinor
pg12453,Miriam Monfort - A Novel,Literary,Warfield| Catherine A.
pg12470,A Perilous Secret,Literary,Reade| Charles
pg12520,Deadham Hard: A Romance,Literary,Malet| Lucas
pg1253,A Simple Soul,Literary,Flaubert| Gustave
pg12672,A Spinner in the Sun,Literary,Reed| Myrtle
pg1273,The Autobiography of a Slander,Literary,Lyall| Edna
pg12733,Tokyo to Tijuana: Gabriele Departing America,Literary,Sills| Steven David Justin
pg12886,The Coquette's Victim - Everyday Life Library No. 1,Literary,Brame| Charlotte M
pg12935,The Song of the Blood-Red Flower,Literary,Linnankoski| Johannes
pg12972,People Like That - A Novel,Literary,Bosher| Kate Langley
pg12989,The Lady of Big Shanty,Literary,Smith| F. Berkeley
pg13057,The Philanderers,Literary,Mason| A. E. W.
pg13162,Coralie - Everyday Life Library No. 2,Literary,Brame| Charlotte M.
pg13178,Broken to the Plow - A Novel,Literary,Dobie| Charles Caldwell
pg13212,The Wild Olive: A Novel,Literary,King| Basil
pg13257,The American Baron: A Novel,Literary,Mille| James De
pg13273,Out of the Ashes,Literary,Grant| Ethel Watts Mumford
pg13312,The Light That Lures,Literary,Brebner| Percy James
pg13432,Miss Bretherton,Literary,Ward| Mrs. Humphry
pg13454,Aylwin,Literary,Watts-Dunton| Theodore
pg13541,The Collected Works of Ambrose Bierce- Volume 1,Literary,Bierce| Ambrose
pg13572,The Son of Clemenceau- A Novel of Modern Love and Life,Literary,Dumas| Alexandre
pg13776,One Day  A sequel to 'Three Weeks',Literary,Elinor Glyn
pg13913,The Port of Missing Men,Literary,Nicholson| Meredith
pg1392,The Seven Poor Travellers,Christmas Stories,Dickens| Charles
pg13960,Charles Rex,Love and Romance,Dell| Ethel M.
pg13985,V. V.'s Eyes,Literary,Harrison| Henry Sydnor
pg14051,The End of the World: A Love Story,Love and Romance,Eggleston| Edward
pg14079,Sandy,Sea and Adventure,Rice| Alice Caldwell Hegan
pg14145,If Winter Comes,Literary,Hutchinson| A. S. M.
pg1422,Going into Society,Literary,Dickens| Charles
pg14253,Flames,Literary,Hichens| Robert
pg14303,Queed - A Novel,Literary,Harrison| Henry Sydnor
pg14382,The Missing Bride,Literary,Southworth| Emma Dorothy Eliza Nevitte
pg14395,Septimus,Literary,Locke| William John
pg14420,The Exemplary Novels of Cervantes,Literary,Saavedra| Miguel de Cervantes
pg14427,True Love's Reward - A Sequel to Mona,Literary,Sheldon| Mrs. Georgie
pg14454,The Doctor's Dilemma,Literary,Stretton| Hesba
pg14490,A Daughter of To-Day,Literary,Duncan| Sara Jeannette
pg14523,Sister Carmen,Literary,Corvus| M.
pg14581,The Just and the Unjust,Literary,Kester| Vaughan
pg14605,The Devil's Garden,Literary,Maxwell| W. B.
pg14669,Jaffery,Literary,Locke| William John
pg14687,Christian's Mistake,Literary,Craik| Dinah Maria Mulock
pg14708,The Laurel Bush: An Old-Fashioned Love Story,Love and Romance,Craik| Dinah Maria Mulock
pg14712,Vandover and the Brute,Literary,Norris| Frank
pg14852,The Younger Set,Literary,Chambers| Robert W.
pg14858,The Man Thou Gavest,Literary,Comstock| Harriet T.
pg14885,Red Pottage,Literary,Cholmondeley| Mary
pg15013,The Keeper of the Door,Literary,Dell| Ethel M.
pg15067,The Cathedral,Literary,Huysmans| J.-K.
pg15094,The Cab of the Sleeping Horse,Literary,Scott| John Reed
pg15116,The Jervaise Comedy,Literary,Beresford| J. D.
pg15117,"Sea and Shore - A Sequel to ""Miriam's Memoirs""",Literary,Warfield| Catherine A.
pg15123,David Lockwin—The People's Idol,Literary,McGovern| John
pg15179,The Inner Sisterhood - A Social Study in High Colors,Literary,Sherley| Douglass
pg15181,My Mother's Rival - Everyday Life Library No. 4,Literary,Brame| Charlotte M.
pg15182,Marion Arleigh's Penance - Everyday Life Library No. 5,Literary,Brame| Charlotte M.
pg15183,The Tragedy of the Chain Pier - Everyday Life Library No. 3,Literary,Brame| Charlotte M.
pg15244,Lewie - The Bended Twig,Literary,Bradford| Sarah H.
pg15275,Bessie's Fortune: A Novel,Literary,Holmes| Mary Jane
pg15315,Gladys- the Reaper,Literary,Beale| Anne
pg15317,The Baronet's Bride- A Woman's Vengeance,Literary,Fleming| May Agnes
pg15321,Tracy Park: A Novel,Literary,Holmes| Mary Jane
pg15430,The Lever: A Novel,Literary,Orcutt| William Dana
pg15498,Trumps,Literary,Curtis| George William
pg15527,Captivity,Literary,Eyles| Leonora
pg15671,A Splendid Hazard,Literary,MacGrath| Harold
pg15704,Far to Seek - A Romance of England and India,Literary,Diver| Maud
pg15743,Bunker Bean,Literary,Wilson| Harry Leon
pg15774,Ishmael- In the Depths,Literary,Southworth| Emma Dorothy Eliza Nevitte
pg15793,An Unpardonable Liar,Literary,Parker| Gilbert
pg15797,The Seeker,Literary,Wilson| Harry Leon
pg15799,Walter Harland - Memories of the Past,Literary,Caswell| Harriet S.
pg15864,Garman and Worse: A Norwegian Novel,Literary,Kielland| Alexander Lange
pg15875,The Unseen Bridegroom- Wedded For a Week,Literary,Fleming| May Agnes
pg15895,Allegories of Life,Allegories,Adams| Mrs. J. S.
pg15934,His Excellency the Minister,Literary,Claretie| Jules
pg15941,An Englishwoman's Love-Letters,Literary,Housman| Laurence
pg15989,The Fatal Glove,Literary,Augusta| Clara
pg16039,The Lost Lady of Lone,Literary,Southworth| Emma Dorothy Eliza Nevitte
pg16080,Uncle Max,Literary,Carey| Rosa Nouchette
pg16094,For Woman's Love,Literary,Southworth| Emma Dorothy Eliza Nevitte
pg16137,The Hoyden,Literary,Duchess|
pg16138,The Cromptons,Literary,Holmes| Mary Jane
pg16143,A Man and a Woman,Literary,Waterloo| Stanley
pg16217,Prince Fortunatus,Literary,Black| William
pg16252,Jan: A Dog and a Romance,Literary,Dawson| A. J.
pg16283,Idolatry: A Romance,Literary,Hawthorne| Julian
pg1634,The Foolish Virgin,Literary,Dixon| Thomas
pg16345,Ellen Walton - The Villain and His Victims,Literary,Addison| Alvin
pg16381,The Summons,Literary,Mason| A. E. W.
pg16398,What Necessity Knows,Literary,Dougall| L.
pg16403,Led Astray and The Sphinx - Two Novellas In One Volume,Literary,Feuillet| Octave
pg16453,The Measure of a Man,Literary,Barr| Amelia E.
pg16497,The Moon out of Reach,Love and Romance,Pedler| Margaret
pg16554,Foes,Literary,Johnston| Mary
pg16574,The Twins - A Domestic Novel,Literary,Tupper| Martin Farquhar
pg16612,The Lee Shore,Literary,Macaulay| Rose
pg16662,Bad Hugh,Literary,Holmes| Mary Jane
pg16676,Eveline Mandeville - The Horse Thief Rival,Literary,Addison| Alvin
pg16682,Adrien Leroy,Literary,Garvice| Charles
pg16703,A Comedy of Masks: A Novel,Literary,Dowson| Ernest Christopher| Moore| Arthur
pg16719,The Husbands of Edith,Literary,McCutcheon| George Barr
pg16720,Marzio's Crucifix and Zoroaster,Literary,Crawford| F. Marion
pg16730,Mike Fletcher: A Novel,Literary,Moore| George Augustus
pg16771,Jacqueline of Golden River,Literary,Egbert| H. M.
pg16788,My Little Lady,Literary,Poynter| E. Frances
pg16798,Elster's Folly: A Novel,Literary,Wood| Mrs. Henry
pg16799,Dangerous Ages,Literary,Macaulay| Rose
pg16803,Lydia of the Pines,Literary,Morrow| Honor
pg16836,Mark Hurdlestone - The Two Brothers,Literary,Moodie| Susanna
pg16909,The Halo,Literary,Hutten| Bettina Von
pg16919,The Bradys and the Girl Smuggler Working for the Custom House,Detective and Mystery,Doughty| Francis Worcester
pg16968,The Bad Man: A Novel,Literary,Browne| Porter Emerson| Towne| Charles Hanson
pg1699,The Vanished Messenger,Detective and Mystery,Oppenheim| E. Phillips
pg16993,Miss Dexie - A Romance of the Provinces,Literary,Eveleth| Stanford
pg17047,The Half-Hearted,Sea and Adventure,Buchan| John
pg17048,The Man and the Moment,Literary,Glyn| Elinor
pg17062,The Crock of Gold - A Rural Novel,Literary,Tupper| Martin Farquhar
pg17084,Guy Livingstone'Thorough',Literary,Lawrence| George A.
pg17141,Destiny,Literary,Buck| Charles Neville
pg17191,The Actress in High Life - An Episode in Winter Quarters,Literary,Bowen| Sue Petigru
pg17241,Atlantis,Literary,Hauptmann| Gerhart
pg17308,Sunrise,Literary,Black| William
pg17359,Arms and the Woman,Love and Romance,MacGrath| Harold
pg17390,Hearts and Masks,Literary,MacGrath| Harold
pg17402,The Adventures of Kathlyn,Literary,MacGrath| Harold
pg17434,The Thin Red Line  and Blue Blood,Literary,Griffiths| Arthur
pg17446,The Second Honeymoon,Literary,Ayres| Ruby M.
pg1747,The Red Seal,Literary,Lincoln| Natalie Sumner
pg1748,Other People's Money,Detective and Mystery,Gaboriau| Emile
pg17559,On the Church Steps,Literary,Hallowell| Sarah C.
pg17564,By the Light of the Soul: A Novel,Literary,Freeman| Mary Eleanor Wilkins
pg17642,Romance,Literary,Conrad| Joseph| Ford| Ford Madox
pg17698,Bella Donna: A Novel,Literary,Hichens| Robert
pg17745,The Courage of Marge O'Doone,Literary,Curwood| James Oliver
pg17806,Foes in Ambush,Literary,King| Charles
pg17938,Contrary Mary,Literary,Bailey| Temple
pg18022,Betty at Fort Blizzard,Literary,Seawell| Molly Elliot
pg18052,Medoline Selwyn's Work,Literary,Colter| Mrs. J. J.
pg18054,The Zeit-Geist,Literary,Dougall| L.
pg1809,Bucky O'Connor: A Tale of the Unfenced Border,Western Stories,Raine| William MacLeod
pg18239,The Road to Mandalay - A Tale of Burma,Literary,Croker| B. M.
pg18259,Gentle Julia,Literary,Tarkington| Booth
pg18280,Enter Bridget,Literary,Cobb| Thomas
pg1832,The Case of the Lamp That Went Out,Detective and Mystery,Groner| Auguste
pg1833,The Case of the Registered Letter,Detective and Mystery,Groner| Auguste
pg18336,The Lighted Match,Literary,Buck| Charles Neville
pg1834,The Case of the Pocket Diary Found in the Snow,Detective and Mystery,Groner| Auguste
pg1835,The Case of the Pool of Blood in the Pastor's Study,Detective and Mystery,Groner| Auguste
pg1836,The Case of the Golden Bullet,Detective and Mystery,Groner| Auguste
pg18434,A Melody in Silver,Literary,Abbott| Keene
pg18443,Parrot & Co.,Literary,MacGrath| Harold
pg18449,The Treasure of Heaven: A Romance of Riches,Literary,Corelli| Marie
pg1846,The Vision Splendid,Western Stories,Raine| William MacLeod
pg18488,The Place Beyond the Winds,Literary,Comstock| Harriet T.
pg18489,A Court of Inquiry,Literary,Richmond| Grace S.
pg1849,The Yellow Crayon,Detective and Mystery,Oppenheim| E. Phillips
pg1851,The Woman in the Alcove,Detective and Mystery,Green| Anna Katharine
pg18545,A Mummer's Tale,Literary,France| Anatole
pg1857,Initials Only,Detective and Mystery,Green| Anna Katharine
pg18572,The President: A Novel,Literary,Lewis| Alfred Henry
pg18705,The Poor Plutocrats,Literary,Jkai| Mr
